Name,Year,Rating,Verdict,Color,Intensity,Aroma,Sweetness,Acidity,Alcohol,Tannin,Balance,Finish,Aftertaste
"THE ICONIC ESTATE, Rhein Extra, Rosé, Brut",2013,91.6,fine,9.5,9.5,9.6,9.0,9.1,9.0,8.9,9.0,9.1,8.9
"TOHANI, Flori de Gheata, Alb Dulce",2015,92.0,fine,9.4,9.4,9.3,9.0,9.0,9.1,9.0,9.1,9.1,9.0
"VIA VITICOLA, Trilogie in Alb",2015,92.2,fine,9.4,9.4,9.4,9.1,9.0,9.0,9.1,9.0,9.1,9.1
"FÁUTOR, Blanca Cuvée",2020,92.5,fine,9.5,9.6,9.7,9.0,9.0,9.1,9.0,9.1,9.0,9.1
"PURCARI, Viorica de Purcari",2020,91.7,fine,9.5,9.6,9.7,9.0,9.1,8.9,8.8,9.0,9.0,8.9
"CRAMA FERDI, Madame S.",2020,93.0,great,9.3,9.7,9.8,9.0,9.1,9.1,9.0,9.1,9.3,9.0
"TERRA DACIA, Cabernet Franc Blanc",2019,89.8,nice,9.5,9.3,9.1,8.8,8.9,8.8,8.8,8.8,8.9,8.9
"VINARIA JUGRESTAN, Ortoman",2018,90.4,nice,9.4,9.5,9.4,8.8,8.7,8.8,9.0,8.8,9.2,8.8
NOVAK1 Red Blend,2018,91.1,fine,9.3,9.4,9.5,8.8,8.9,9.0,9.2,9.0,9.0,9.0
"DOMENIILE VINARTE, Merlot & Cabernet Sauvignon",1998,91.6,fine,9.4,9.4,9.5,9.0,8.9,8.9,9.3,9.0,9.2,9.0
"TERRA DACIA, Merlot & Cabernet Sauvignon",2017,92.5,fine,9.5,9.5,9.6,9.1,9.0,9.1,9.4,9.1,9.3,8.9
"VALAHORUM, Apogeum, Feteasca Neagra",2016,92.5,fine,9.5,9.6,9.7,9.1,9.1,9.1,9.0,9.1,9.0,9.1
"CRAMA FERDI, Cuvée Pitigaia",2016,93.0,great,9.5,9.6,9.5,9.5,9.4,9.2,9.2,9.2,9.2,9.1
"FÁUTOR, Illustro",2015,92.8,fine,9.6,9.6,9.7,9.1,9.0,9.0,9.0,9.1,9.0,8.9
"CHATEAU DÉNOVIE, Rouge de Dénovie, Cuveé Grand Vintage",2015,89.4,nice,9.3,9.5,9.2,8.8,8.9,8.7,8.7,8.7,8.9,8.7
"DOMAINE BESSA VALLEY, Grande Cuvée",2015,94.7,great,9.7,9.6,9.6,9.4,9.4,9.4,9.4,9.2,9.2,9.2
"A.GERE, Kopar, Villányi Cuvée",2015,94.7,great,9.7,9.6,9.6,9.5,9.5,9.4,9.4,9.2,9.3,9.3
"1000 DE CHIPURI, Distinctis",1000,92.0,fine,9.7,9.6,9.7,8.9,8.8,8.9,9.0,8.9,9.3,8.8
"SERVE, Cuvée Charlotte",2014,93.1,great,9.7,9.5,9.5,9.1,9.0,9.1,9.4,9.0,9.3,9.1
"CORTEN, Merlot",2014,90.6,nice,8.9,9.4,9.3,8.9,9.0,9.0,9.1,9.0,9.1,8.9
"THE ICONIC ESTATE, Rhein Extra, Imperial, Brut",2014,91.9,fine,9.5,9.5,9.6,9.0,9.1,9.1,8.9,9.0,9.1,9.1
"GITANA WINERY, La Petite Sophie",2018,92.7,fine,9.6,9.6,9.7,9.0,9.1,9.0,9.1,9.1,9.3,9.0
"SERVE, Terra Romana, Feteasca Alba",2018,91.1,fine,9.6,9.5,9.6,9.0,9.0,8.8,8.8,8.9,9.0,8.9
"TERRA DACIA, Sauvignon Blanc",2019,90.4,nice,9.5,9.6,9.7,8.8,8.9,8.7,8.7,8.8,8.9,8.8
"KLEINE KAAP WINES, Chenin Blanc",2020,91.6,fine,9.4,9.5,9.1,9.0,9.2,9.1,9.1,9.1,9.1,9.0
"FAMBER WINERY, Viorica",2020,91.1,fine,9.4,9.5,9.3,8.9,9.0,9.0,8.9,8.9,9.1,9.1
"CRAMA LA SALINA, Satyr, Rose",2019,91.7,fine,9.6,9.5,9.7,9.0,9.1,8.9,9.0,9.0,8.9,9.0
"TERRA DACIA, Zaiber",2019,91.0,fine,9.6,9.4,9.6,9.1,8.8,8.7,9.2,8.7,9.2,8.7
"CASA PETRU, Feteasca Neagra, Private Wine Collection",2018,89.9,nice,9.4,9.4,9.3,8.8,8.8,8.8,8.9,8.8,9.0,8.7
"CORTEN, Cabernet Sauvignon",2015,90.6,nice,9.5,9.4,9.4,8.9,8.9,8.8,9.0,8.8,9.2,8.7
"CHATEAU DÉNOVIE, Saperavi",2016,89.3,nice,9.4,9.3,9.1,8.8,8.8,8.7,8.9,8.7,8.9,8.7
"METAMORFOSIS, Cantvs Primvs, Cabernet Sauvignon",2016,92.6,fine,9.5,9.6,9.7,9.0,8.9,9.1,9.3,9.1,9.3,8.9
